"molregno","gene_id","tool_score","strength","selectivity","investigation_bias","wilcox_pval","IC50_diff","ontarget_IC50_Q1","offtarget_IC50_Q1","ontarget_IC50_N","offtarget_IC50_N","N_total"
88936,1956,5.18637917480437,8,0.648297396850546,0.192307692307692,0.000879305890626973,2.8004276450948,3.8,2400,5,21,26
330282,3351,5.58153182890787,8,0.697691478613483,0.0909090909090909,0.00488981994870873,3.08980915384341,4.6,5656.75,2,20,22
1959075,142,7.00784411372154,8,0.875980514215193,0.046875,2.81815785143828e-12,2.71444269099223,19.3,10000,3,61,64
72191,100,6.06638204112375,8,0.758297755140469,0.2,0.000732221685801374,3.79760831366292,2.875,18040.4,4,16,20
602271,4233,7.4199842456438,8,0.927498030705475,0.033271719038817,1.14047990420993e-14,2.65871496090731,1.525,695,18,523,541
602271,238,5.64656398362849,8,0.705820497953561,0.0536044362292052,1.5048502727166e-10,1.54869644853235,20,707.5,29,512,541
602271,6098,5.23151126660815,8,0.653938908326019,0.00739371534195933,0.000621130481196596,2.26626788940477,3.25,600,4,537,541
249967,2159,5.756307008385,8,0.719538376048125,0.153846153846154,0.0185787107720508,3.591186960734,0.91,3550,2,11,13
493539,4322,7.01021778416237,8,0.876277223020296,0.166666666666667,0.000210260273105918,4.65104645201884,0.67,30000,4,20,24
88232,1956,8.36420261435127,8,1.04552532679391,0.064878892733564,1e-15,3.60436461934587,0.99,3981.07,75,1081,1156
88232,2580,5.46233930690615,8,0.682792413363268,0.00346020761245675,0.000201630095721349,2.41642341436605,11.5,3000,4,1152,1156
24798,5156,6.35752585600256,8,0.79469073200032,0.0869565217391304,0.00860140176877245,4,10,1e+05,2,21,23
24798,5159,6.35752585600256,8,0.79469073200032,0.0869565217391304,0.00860140176877245,4,10,1e+05,2,21,23
78560,2932,5.5340606441821,8,0.691757580522762,0.0451977401129944,1.52283187010049e-06,2.19794183649001,4,630.96,8,169,177
331628,5159,5.46978400492348,8,0.683723000615435,0.0425531914893617,0.00860456891291634,2.86811240343637,4.2,3100,2,45,47
573133,1436,6.79913571905656,8,0.849891964882069,0.00470035252643948,1.5711615268012e-08,3.10237290870956,7.9,10000,4,847,851
573133,2322,8.64477753728665,8,1.08059719216083,0.0235017626321974,1e-15,3.79588001734407,1.6,10000,20,831,851
573133,5979,7.87706274942531,8,0.984632843678163,0.0082256169212691,7.35062611496972e-14,3.25963731050576,5.5,10000,7,844,851
573133,3815,8.24887187047226,8,1.03110898380903,0.0129259694477086,1e-15,3.31875876262441,4.8,10000,11,840,851
573133,2321,5.5084639905908,8,0.68855799882385,0.00470035252643948,7.59391062393241e-05,2.38721614328026,41,10000,4,847,851
573133,3791,5.94654353658565,8,0.743317942073206,0.00587544065804935,5.82055950836326e-09,2.06048074738138,87,10000,5,846,851
573133,5159,6.94086050146198,8,0.867607562682748,0.00470035252643948,8.58953357725327e-09,3.2093630380683,6.175,10000,4,847,851
573133,780,5.49396913125138,8,0.686746141406423,0.00352526439482961,3.1704402754994e-06,2.09151498112135,81,10000,3,848,851
573133,5156,6.76874829349293,8,0.846093536686617,0.00470035252643948,1.47980681779927e-08,3.06298389253519,8.65,10000,4,847,851
573133,2324,5.78571855178556,8,0.723214818973196,0.00352526439482961,2.18039359041258e-06,2.38721614328026,41,10000,3,848,851
582954,5581,5.00784327328762,8,0.625980409160952,0.00966183574879227,0.0167495644410397,2.3076098933031,6.2,1258.93,2,205,207
582954,5580,5.65858335797433,8,0.707322919746792,0.00966183574879227,0.0090330045218132,2.98605823049451,1.3,1258.93,2,205,207
582954,5583,5.0233407470698,8,0.627917593383725,0.00966183574879227,0.014864130188133,2.31467174779058,6.1,1258.93,2,205,207
582954,5588,5.96698552489431,8,0.745873190611789,0.0144927536231884,0.00144944988870136,3.18857761742506,0.8155,1258.93,3,204,207
582954,5566,5.45647959390869,8,0.682059949238587,0.0144927536231884,0.00952406652478336,2.77778228806743,2.1,1258.93,3,204,207
582954,5578,5.44911933842354,8,0.681139917302943,0.00966183574879227,0.0123790587900302,2.77778228806743,2.1,1258.93,2,205,207
349491,1803,5.58310395004362,8,0.697887993755453,0.181818181818182,0.0192060805626917,3.48313423850219,13.15,40000,2,9,11
41764,2064,6.01116791144762,8,0.751395988930952,0.00835322195704057,5.62201732042532e-07,2.53760200210104,8.7,3000,7,831,838
41764,1956,9.07223067456852,8,1.13402883432107,0.0346062052505967,1e-15,4.31007812464138,0.19,3880,29,809,838
41764,2066,5.50483221850914,8,0.688104027313643,0.0035799522673031,0.000560350577708933,2.55336806742824,8.25,2950,3,835,838
41764,25,6.79659023920459,8,0.849573779900573,0.0346062052505967,1e-15,1.74998263485695,69,3880,29,809,838
41764,640,5.00838814736779,8,0.626048518420974,0.00477326968973747,0.000119647771951383,1.86433739799993,41,3000,4,834,838
338477,3791,5.43134822275081,8,0.678918527843852,0.111111111111111,5.14037290117626e-05,2.585799009013,2.5,963.25,7,56,63
350235,3702,5.68161931529759,8,0.710202414412198,0.0606060606060606,0.00818055170723784,3.15619643033874,16.75,24000,2,31,33
371224,2322,5.00312188214718,8,0.625390235268398,0.0136054421768707,0.0100805992936545,2.27002571430044,5.37,1000,2,145,147
371224,3791,5.17503220454315,8,0.646879025567894,0.0136054421768707,0.00921449411494028,2.45562185604219,3.5025,1000,2,145,147
1270213,1432,6.18185317379094,8,0.772731646723868,0.0125786163522013,5.15097594375782e-05,3.13469857389746,22,30000,2,157,159
144959,5579,6.44939097406638,8,0.806173871758297,0.0060313630880579,8.57402674734079e-07,3.06029590188725,4.7,5400,5,824,829
